participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Charlotte,VA,18-24,Trackpad,Never,1,visual,1,0,328,70,319,59,14.37,1,881.0,2026-04-08T01:33:09.055Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,2,0,748,63,739,51,15.16,1,1215.0,2026-04-08T01:33:11.221Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,3,0,644,148,638,141,9.37,1,1033.0,2026-04-08T01:33:13.204Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,4,0,293,375,280,368,14.86,1,1017.0,2026-04-08T01:33:15.171Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,5,0,97,386,90,373,14.94,1,1333.0,2026-04-08T01:33:17.455Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,6,0,124,283,110,276,15.74,1,1049.0,2026-04-08T01:33:19.455Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,7,0,485,110,479,97,14.50,1,1498.0,2026-04-08T01:33:21.905Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,8,0,444,315,435,308,11.53,1,1298.0,2026-04-08T01:33:24.154Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,9,0,500,105,483,95,19.83,1,916.0,2026-04-08T01:33:26.021Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,10,0,160,311,149,297,17.96,1,1364.0,2026-04-08T01:33:28.336Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,11,0,267,91,259,80,13.77,1,951.0,2026-04-08T01:33:30.238Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,12,0,512,411,502,397,17.37,1,931.0,2026-04-08T01:33:32.120Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,13,0,400,353,391,345,12.18,1,883.0,2026-04-08T01:33:33.954Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,14,0,438,354,427,342,16.43,1,1448.0,2026-04-08T01:33:36.354Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,15,0,500,173,492,165,11.46,1,1150.0,2026-04-08T01:33:38.454Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,16,0,309,155,301,149,10.12,1,933.0,2026-04-08T01:33:40.337Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,17,0,142,94,125,80,22.15,1,1034.0,2026-04-08T01:33:42.322Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,18,0,100,131,93,119,14.07,1,1263.0,2026-04-08T01:33:44.537Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,19,0,662,437,652,430,12.32,1,966.0,2026-04-08T01:33:46.454Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,20,0,747,226,739,218,11.46,1,1032.0,2026-04-08T01:33:48.438Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,21,0,672,202,665,194,10.78,1,1117.0,2026-04-08T01:33:50.506Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,22,0,214,430,208,417,14.50,1,1164.0,2026-04-08T01:33:52.621Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,23,0,70,173,61,161,15.16,1,1032.0,2026-04-08T01:33:54.604Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,24,0,619,347,614,336,12.27,1,1266.0,2026-04-08T01:33:56.821Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,25,0,432,129,421,119,15.00,1,782.0,2026-04-08T01:33:58.554Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,26,0,712,311,701,300,15.70,1,1165.0,2026-04-08T01:34:00.671Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,27,0,646,207,639,196,13.21,1,834.0,2026-04-08T01:34:02.455Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,28,0,61,421,57,414,8.24,1,1182.0,2026-04-08T01:34:04.588Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,29,0,425,203,413,190,17.84,1,1347.0,2026-04-08T01:34:06.888Z
Charlotte,VA,18-24,Trackpad,Never,1,visual,30,0,550,98,539,87,15.70,1,848.0,2026-04-08T01:34:08.688Z
Charlotte,VA,18-24,Trackpad,Never,2,auditory,1,0,353,355,343,344,15.02,1,897.0,2026-04-08T01:35:57.602Z
