participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Myself,AV,18-24,Mouse,Daily,1,auditory,1,0,449,448,449,445,3.00,1,792.0,2026-04-08T04:56:13.001Z
Myself,AV,18-24,Mouse,Daily,1,auditory,2,0,678,447,672,454,9.22,1,559.1,2026-04-08T04:56:14.532Z
Myself,AV,18-24,Mouse,Daily,1,auditory,3,0,159,296,174,309,19.85,1,666.5,2026-04-08T04:56:16.153Z
Myself,AV,18-24,Mouse,Daily,1,auditory,4,0,603,268,597,266,6.32,1,559.4,2026-04-08T04:56:17.671Z
Myself,AV,18-24,Mouse,Daily,1,auditory,5,0,462,440,464,434,6.32,1,582.5,2026-04-08T04:56:19.208Z
Myself,AV,18-24,Mouse,Daily,1,auditory,6,0,742,283,757,281,15.13,1,628.9,2026-04-08T04:56:20.796Z
Myself,AV,18-24,Mouse,Daily,1,auditory,7,0,705,166,707,160,6.32,1,593.5,2026-04-08T04:56:22.343Z
Myself,AV,18-24,Mouse,Daily,1,auditory,8,0,424,367,420,368,4.12,1,723.9,2026-04-08T04:56:24.023Z
Myself,AV,18-24,Mouse,Daily,1,auditory,9,0,654,83,646,86,8.54,1,617.4,2026-04-08T04:56:25.597Z
Myself,AV,18-24,Mouse,Daily,1,auditory,10,0,313,109,308,101,9.43,1,606.7,2026-04-08T04:56:27.161Z
Myself,AV,18-24,Mouse,Daily,1,auditory,11,0,241,356,239,359,3.61,1,636.7,2026-04-08T04:56:28.755Z
Myself,AV,18-24,Mouse,Daily,1,auditory,12,0,158,307,150,309,8.25,1,558.7,2026-04-08T04:56:30.267Z
Myself,AV,18-24,Mouse,Daily,1,auditory,13,0,284,277,312,271,28.64,1,460.6,2026-04-08T04:56:31.683Z
Myself,AV,18-24,Mouse,Daily,1,auditory,14,0,341,223,341,224,1.00,1,459.2,2026-04-08T04:56:33.098Z
Myself,AV,18-24,Mouse,Daily,1,auditory,15,0,408,359,417,350,12.73,1,538.5,2026-04-08T04:56:34.594Z
Myself,AV,18-24,Mouse,Daily,1,auditory,16,0,451,419,454,416,4.24,1,534.2,2026-04-08T04:56:36.083Z
Myself,AV,18-24,Mouse,Daily,1,auditory,17,0,55,190,46,186,9.85,1,769.6,2026-04-08T04:56:37.811Z
Myself,AV,18-24,Mouse,Daily,1,auditory,18,0,487,346,480,339,9.90,1,589.1,2026-04-08T04:56:39.360Z
Myself,AV,18-24,Mouse,Daily,1,auditory,19,0,272,248,299,251,27.17,1,557.4,2026-04-08T04:56:40.870Z
Myself,AV,18-24,Mouse,Daily,1,auditory,20,0,447,170,439,182,14.42,1,534.7,2026-04-08T04:56:42.361Z
Myself,AV,18-24,Mouse,Daily,1,auditory,21,0,271,52,283,52,12.00,1,545.5,2026-04-08T04:56:43.863Z
Myself,AV,18-24,Mouse,Daily,1,auditory,22,0,79,202,70,201,9.06,1,646.8,2026-04-08T04:56:45.466Z
Myself,AV,18-24,Mouse,Daily,1,auditory,23,0,154,238,141,234,13.60,1,477.7,2026-04-08T04:56:46.901Z
Myself,AV,18-24,Mouse,Daily,1,auditory,24,0,178,377,185,356,22.14,1,526.7,2026-04-08T04:56:48.381Z
Myself,AV,18-24,Mouse,Daily,1,auditory,25,0,262,64,278,70,17.09,1,604.7,2026-04-08T04:56:49.945Z
Myself,AV,18-24,Mouse,Daily,1,auditory,26,0,618,222,632,221,14.04,1,531.3,2026-04-08T04:56:51.429Z
Myself,AV,18-24,Mouse,Daily,1,auditory,27,0,460,399,473,370,31.78,1,564.6,2026-04-08T04:56:52.946Z
Myself,AV,18-24,Mouse,Daily,1,auditory,28,0,350,428,362,441,17.69,1,595.5,2026-04-08T04:56:54.498Z
Myself,AV,18-24,Mouse,Daily,1,auditory,29,0,189,261,190,258,3.16,1,523.2,2026-04-08T04:56:55.974Z
Myself,AV,18-24,Mouse,Daily,1,auditory,30,0,203,378,206,389,11.40,1,532.9,2026-04-08T04:56:57.461Z
Myself,AV,18-24,Mouse,Daily,1,auditory,31,0,492,265,507,268,15.30,1,623.6,2026-04-08T04:56:59.040Z
Myself,AV,18-24,Mouse,Daily,1,auditory,32,0,104,422,123,405,25.50,1,673.6,2026-04-08T04:57:00.672Z
Myself,AV,18-24,Mouse,Daily,1,auditory,33,0,733,248,748,241,16.55,1,599.4,2026-04-08T04:57:02.231Z
Myself,AV,18-24,Mouse,Daily,1,auditory,34,0,558,179,565,180,7.07,1,527.1,2026-04-08T04:57:03.714Z
Myself,AV,18-24,Mouse,Daily,1,auditory,35,0,617,390,605,372,21.63,1,605.1,2026-04-08T04:57:05.277Z
Myself,AV,18-24,Mouse,Daily,1,auditory,36,0,450,294,436,290,14.56,1,504.5,2026-04-08T04:57:06.740Z
Myself,AV,18-24,Mouse,Daily,1,auditory,37,0,299,413,295,420,8.06,1,546.1,2026-04-08T04:57:08.238Z
Myself,AV,18-24,Mouse,Daily,1,auditory,38,0,388,132,390,128,4.47,1,607.1,2026-04-08T04:57:09.801Z
Myself,AV,18-24,Mouse,Daily,1,auditory,39,0,283,149,299,151,16.12,1,511.7,2026-04-08T04:57:11.268Z
Myself,AV,18-24,Mouse,Daily,1,auditory,40,0,122,349,106,344,16.76,1,642.5,2026-04-08T04:57:12.864Z
Myself,AV,18-24,Mouse,Daily,1,auditory,41,0,218,406,228,402,10.77,1,558.8,2026-04-08T04:57:14.377Z
Myself,AV,18-24,Mouse,Daily,1,auditory,42,0,133,112,127,109,6.71,1,672.3,2026-04-08T04:57:16.005Z
Myself,AV,18-24,Mouse,Daily,1,auditory,43,0,650,280,645,278,5.39,1,579.6,2026-04-08T04:57:17.543Z
Myself,AV,18-24,Mouse,Daily,1,auditory,44,0,113,327,94,329,19.10,1,611.6,2026-04-08T04:57:19.111Z
Myself,AV,18-24,Mouse,Daily,1,auditory,45,0,503,251,518,243,17.00,1,572.5,2026-04-08T04:57:20.641Z
Myself,AV,18-24,Mouse,Daily,1,auditory,46,0,733,215,757,213,24.08,1,638.0,2026-04-08T04:57:22.234Z
Myself,AV,18-24,Mouse,Daily,1,auditory,47,0,706,202,714,201,8.06,1,589.2,2026-04-08T04:57:23.783Z
Myself,AV,18-24,Mouse,Daily,1,auditory,48,0,330,344,332,356,12.17,1,586.8,2026-04-08T04:57:25.322Z
Myself,AV,18-24,Mouse,Daily,1,auditory,49,0,730,177,717,172,13.93,1,595.4,2026-04-08T04:57:26.872Z
Myself,AV,18-24,Mouse,Daily,1,auditory,50,0,325,353,318,364,13.04,1,553.5,2026-04-08T04:57:28.379Z
Myself,AV,18-24,Mouse,Daily,1,auditory,51,0,150,97,131,101,19.42,1,608.6,2026-04-08T04:57:29.941Z
Myself,AV,18-24,Mouse,Daily,1,auditory,52,0,717,435,753,446,37.64,0,577.6,2026-04-08T04:57:31.472Z
Myself,AV,18-24,Mouse,Daily,1,auditory,53,0,599,249,601,253,4.47,1,568.6,2026-04-08T04:57:32.998Z
Myself,AV,18-24,Mouse,Daily,1,auditory,54,0,178,271,185,264,9.90,1,638.8,2026-04-08T04:57:34.596Z
Myself,AV,18-24,Mouse,Daily,1,auditory,55,0,85,88,74,89,11.05,1,653.9,2026-04-08T04:57:36.208Z
Myself,AV,18-24,Mouse,Daily,1,auditory,56,0,257,340,246,334,12.53,1,570.6,2026-04-08T04:57:37.734Z
Myself,AV,18-24,Mouse,Daily,1,auditory,57,0,383,156,378,138,18.68,1,537.7,2026-04-08T04:57:39.231Z
Myself,AV,18-24,Mouse,Daily,1,auditory,58,0,88,335,125,324,38.60,0,573.8,2026-04-08T04:57:40.760Z
Myself,AV,18-24,Mouse,Daily,1,auditory,59,0,420,152,431,123,31.02,1,606.6,2026-04-08T04:57:42.319Z
Myself,AV,18-24,Mouse,Daily,1,auditory,60,0,227,86,233,89,6.71,1,644.5,2026-04-08T04:57:43.921Z
Myself,AV,18-24,Mouse,Daily,2,visual,1,0,476,314,489,324,16.40,1,511.3,2026-04-08T04:58:00.855Z
Myself,AV,18-24,Mouse,Daily,2,visual,2,0,331,250,341,250,10.00,1,499.9,2026-04-08T04:58:02.312Z
Myself,AV,18-24,Mouse,Daily,2,visual,3,0,215,247,218,241,6.71,1,581.3,2026-04-08T04:58:03.852Z
Myself,AV,18-24,Mouse,Daily,2,visual,4,0,562,51,566,41,10.77,1,669.8,2026-04-08T04:58:05.475Z
Myself,AV,18-24,Mouse,Daily,2,visual,5,0,159,215,181,218,22.20,1,577.8,2026-04-08T04:58:07.008Z
Myself,AV,18-24,Mouse,Daily,2,visual,6,0,556,348,547,338,13.45,1,546.9,2026-04-08T04:58:08.512Z
Myself,AV,18-24,Mouse,Daily,2,visual,7,0,90,178,93,178,3.00,1,569.7,2026-04-08T04:58:10.034Z
Myself,AV,18-24,Mouse,Daily,2,visual,8,0,602,411,593,402,12.73,1,619.4,2026-04-08T04:58:11.611Z
Myself,AV,18-24,Mouse,Daily,2,visual,9,0,646,175,642,173,4.47,1,540.9,2026-04-08T04:58:13.110Z
Myself,AV,18-24,Mouse,Daily,2,visual,10,0,644,445,633,443,11.18,1,604.9,2026-04-08T04:58:14.674Z
Myself,AV,18-24,Mouse,Daily,2,visual,11,0,499,180,509,186,11.66,1,487.3,2026-04-08T04:58:16.112Z
Myself,AV,18-24,Mouse,Daily,2,visual,12,0,331,388,343,398,15.62,1,547.5,2026-04-08T04:58:17.611Z
Myself,AV,18-24,Mouse,Daily,2,visual,13,0,492,338,480,335,12.37,1,606.5,2026-04-08T04:58:19.169Z
