participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
shaili,AV,18-24,Other,Never,1,auditory,1,0,516,107,525,101,10.98,1,1049.0,2026-04-08T09:04:33.192Z
shaili,AV,18-24,Other,Never,1,auditory,2,0,512,445,516,441,5.63,1,883.0,2026-04-08T09:04:35.027Z
shaili,AV,18-24,Other,Never,1,auditory,3,0,357,206,345,204,12.31,1,767.0,2026-04-08T09:04:36.746Z
shaili,AV,18-24,Other,Never,1,auditory,4,0,440,397,448,407,13.31,1,865.0,2026-04-08T09:04:38.562Z
shaili,AV,18-24,Other,Never,1,auditory,5,0,53,132,77,144,26.33,1,952.0,2026-04-08T09:04:40.465Z
shaili,AV,18-24,Other,Never,1,auditory,6,0,598,153,604,155,6.24,1,731.0,2026-04-08T09:04:42.149Z
shaili,AV,18-24,Other,Never,1,auditory,7,0,273,256,257,254,16.22,1,833.0,2026-04-08T09:04:43.933Z
shaili,AV,18-24,Other,Never,1,auditory,8,0,690,126,694,121,6.39,1,918.0,2026-04-08T09:04:45.802Z
shaili,AV,18-24,Other,Never,1,auditory,9,0,376,403,374,401,3.13,1,798.0,2026-04-08T09:04:47.553Z
shaili,AV,18-24,Other,Never,1,auditory,10,0,129,148,119,148,9.56,1,767.0,2026-04-08T09:04:49.272Z
shaili,AV,18-24,Other,Never,1,auditory,11,0,453,394,482,387,30.08,1,849.0,2026-04-08T09:04:51.073Z
shaili,AV,18-24,Other,Never,1,auditory,12,0,143,336,115,335,28.08,1,883.0,2026-04-08T09:04:52.907Z
shaili,AV,18-24,Other,Never,1,auditory,13,0,655,367,665,358,13.49,1,699.0,2026-04-08T09:04:54.558Z
shaili,AV,18-24,Other,Never,1,auditory,14,0,154,127,144,141,17.38,1,733.0,2026-04-08T09:04:56.243Z
shaili,AV,18-24,Other,Never,1,auditory,15,0,426,333,435,319,16.27,1,766.0,2026-04-08T09:04:57.961Z
shaili,AV,18-24,Other,Never,1,auditory,16,0,538,179,561,164,27.62,1,668.0,2026-04-08T09:04:59.579Z
shaili,AV,18-24,Other,Never,1,auditory,17,0,657,99,683,76,34.56,1,666.0,2026-04-08T09:05:01.197Z
shaili,AV,18-24,Other,Never,1,auditory,18,0,314,287,309,292,7.51,1,748.0,2026-04-08T09:05:02.898Z
shaili,AV,18-24,Other,Never,1,auditory,19,0,104,353,101,358,5.38,1,1568.0,2026-04-08T09:05:05.417Z
shaili,AV,18-24,Other,Never,1,auditory,20,0,67,279,83,281,16.51,1,801.0,2026-04-08T09:05:07.169Z
shaili,AV,18-24,Other,Never,1,auditory,21,0,54,52,72,78,31.91,1,765.0,2026-04-08T09:05:08.886Z
shaili,AV,18-24,Other,Never,1,auditory,22,0,74,293,79,297,6.22,1,799.0,2026-04-08T09:05:10.637Z
shaili,AV,18-24,Other,Never,1,auditory,23,0,137,336,137,349,12.71,1,817.0,2026-04-08T09:05:12.405Z
shaili,AV,18-24,Other,Never,1,auditory,24,0,725,215,721,220,6.52,1,1067.0,2026-04-08T09:05:14.423Z
shaili,AV,18-24,Other,Never,1,auditory,25,0,708,281,730,281,22.14,1,734.0,2026-04-08T09:05:16.108Z
shaili,AV,18-24,Other,Never,1,auditory,26,0,625,195,617,204,12.10,1,750.0,2026-04-08T09:05:17.810Z
shaili,AV,18-24,Other,Never,1,auditory,27,0,487,198,498,193,12.03,1,499.0,2026-04-08T09:05:19.260Z
shaili,AV,18-24,Other,Never,1,auditory,28,0,212,426,180,455,42.72,0,651.0,2026-04-08T09:05:20.863Z
shaili,AV,18-24,Other,Never,1,auditory,29,0,267,336,282,340,15.14,1,1400.0,2026-04-08T09:05:23.215Z
shaili,AV,18-24,Other,Never,1,auditory,30,0,622,297,642,290,21.39,1,848.0,2026-04-08T09:05:25.015Z
shaili,AV,18-24,Other,Never,1,auditory,31,0,197,104,201,105,3.80,1,766.0,2026-04-08T09:05:26.733Z
shaili,AV,18-24,Other,Never,1,auditory,32,0,507,444,503,446,4.74,1,865.0,2026-04-08T09:05:28.551Z
shaili,AV,18-24,Other,Never,1,auditory,33,0,131,413,126,428,15.34,1,899.0,2026-04-08T09:05:30.401Z
shaili,AV,18-24,Other,Never,1,auditory,34,0,234,104,237,96,8.13,1,885.0,2026-04-08T09:05:32.238Z
shaili,AV,18-24,Other,Never,1,auditory,35,0,313,315,325,290,27.43,1,766.0,2026-04-08T09:05:33.956Z
shaili,AV,18-24,Other,Never,1,auditory,36,0,370,186,390,166,28.07,1,582.0,2026-04-08T09:05:35.490Z
shaili,AV,18-24,Other,Never,1,auditory,37,0,545,244,554,227,19.40,1,682.0,2026-04-08T09:05:37.124Z
shaili,AV,18-24,Other,Never,1,auditory,38,0,480,432,503,430,22.64,1,700.0,2026-04-08T09:05:38.776Z
shaili,AV,18-24,Other,Never,1,auditory,39,0,704,98,757,92,53.54,0,1217.0,2026-04-08T09:05:40.945Z
shaili,AV,18-24,Other,Never,1,auditory,40,0,230,239,216,236,13.98,1,882.0,2026-04-08T09:05:42.778Z
shaili,AV,18-24,Other,Never,1,auditory,41,0,98,51,97,49,2.30,1,883.0,2026-04-08T09:05:44.613Z
shaili,AV,18-24,Other,Never,1,auditory,42,0,254,447,241,446,12.95,1,801.0,2026-04-08T09:05:46.365Z
shaili,AV,18-24,Other,Never,1,auditory,43,0,486,172,494,182,12.46,1,782.0,2026-04-08T09:05:48.100Z
shaili,AV,18-24,Other,Never,1,auditory,44,0,58,92,72,76,21.32,1,765.0,2026-04-08T09:05:49.817Z
shaili,AV,18-24,Other,Never,1,auditory,45,0,388,220,397,229,12.65,1,749.0,2026-04-08T09:05:51.518Z
shaili,AV,18-24,Other,Never,1,auditory,46,0,377,194,374,186,8.10,1,733.0,2026-04-08T09:05:53.202Z
